,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,company_type,training_hours,Experience,Company_Size,Last_new_job
59,1361,city_103,0.92,Other,Has relevent experience,Full time course,Graduate,STEM,,132,5,,1
60,19625,city_97,0.925,Male,Has relevent experience,No enrollment,High School,,Pvt Ltd,31,7,75.0,1
61,20943,city_160,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,8,21,10500.0,5
62,9561,city_28,0.939,,Has relevent experience,No enrollment,Masters,STEM,,72,19,,2
63,4271,city_13,0.8270000000000001,,Has relevent experience,,Graduate,STEM,Pvt Ltd,74,5,8.0,2
64,2094,city_64,0.6659999999999999,Female,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,43,18,250.0,5
65,16931,city_31,0.807,Male,Has relevent experience,No enrollment,Graduate,STEM,,134,15,,5
66,27298,city_21,0.624,Male,No relevent experience,No enrollment,Graduate,Arts,Early Stage Startup,18,5,8.0,0
67,26493,city_136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,Public Sector,124,8,,1
68,30745,city_19,0.682,Male,Has relevent experience,No enrollment,Graduate,STEM,,80,8,,3
69,21052,city_90,0.698,Male,Has relevent experience,No enrollment,Graduate,STEM,,9,2,,0
70,20723,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,188,0,75.0,1
71,13539,city_143,0.74,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,182,13,8.0,2
72,3214,city_16,0.91,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,282,21,2500.0,4
73,16230,city_103,0.92,,No relevent experience,Full time course,High School,,,84,1,,0
74,25300,city_160,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Early Stage Startup,59,7,8.0,1
75,24018,city_11,0.55,Male,Has relevent experience,Part time course,Graduate,STEM,Pvt Ltd,116,3,30.0,1
76,21833,city_16,0.91,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,34,20,75.0,5
77,30632,city_114,0.926,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,64,12,75.0,2
78,4334,city_103,0.92,Male,Has relevent experience,,High School,,,19,9,,2
79,22271,city_100,0.887,Male,No relevent experience,Full time course,Graduate,Other,,77,15,,3
80,28776,city_114,0.926,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,56,21,10500.0,5
81,27769,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,,73,2,,1
82,25909,city_67,0.855,,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,30,15,250.0,5
83,31266,city_114,0.926,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,66,9,750.0,5
84,7973,city_114,0.926,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,10,14,10500.0,1
85,30867,city_21,0.624,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,100,3,250.0,1
86,22501,city_75,0.939,Male,Has relevent experience,No enrollment,,,Pvt Ltd,32,19,30.0,5
87,2539,city_13,0.8270000000000001,Male,Has relevent experience,Full time course,Masters,STEM,Pvt Ltd,29,10,10500.0,4
88,26681,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,Business Degree,Pvt Ltd,8,21,10500.0,3
89,16184,city_127,0.745,,No relevent experience,Full time course,High School,,,77,1,,0
90,3852,city_103,0.92,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,28,21,2500.0,5
91,1680,city_19,0.682,Male,Has relevent experience,No enrollment,Masters,STEM,,99,19,2500.0,4
92,3562,city_114,0.926,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,41,21,2500.0,2
93,8488,city_101,0.5579999999999999,Male,Has relevent experience,Part time course,Masters,STEM,,258,3,,2
94,8373,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,144,17,2500.0,3
95,2934,city_75,0.939,Male,Has relevent experience,No enrollment,Phd,STEM,Pvt Ltd,328,21,2500.0,3
96,12919,city_103,0.92,Female,Has relevent experience,No enrollment,Graduate,Humanities,,47,4,,1
97,4386,city_21,0.624,Male,No relevent experience,Full time course,High School,,Early Stage Startup,36,3,8.0,2
98,22462,city_21,0.624,,Has relevent experience,No enrollment,Graduate,STEM,NGO,30,9,10500.0,1
99,13988,city_103,0.92,,Has relevent experience,Part time course,Masters,STEM,Pvt Ltd,36,16,10500.0,5
100,21230,city_103,0.92,,No relevent experience,No enrollment,High School,,,41,3,,5
101,26180,city_139,0.487,Male,No relevent experience,Full time course,Graduate,STEM,Pvt Ltd,64,1,30.0,0
102,16658,city_16,0.91,Male,Has relevent experience,No enrollment,Graduate,Business Degree,Pvt Ltd,55,16,75.0,1
103,10324,city_16,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,Pvt Ltd,12,21,10500.0,2
104,20453,city_27,0.848,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,4,3,75.0,0
105,13485,city_136,0.897,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,23,11,250.0,2
106,33080,city_16,0.91,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,32,21,75.0,0
107,25492,city_103,0.92,,Has relevent experience,No enrollment,Graduate,STEM,,10,21,,1
108,1319,city_71,0.884,Male,No relevent experience,Part time course,Graduate,STEM,,18,0,,5
109,19146,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,,43,18,75.0,1
110,29339,city_67,0.855,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,5,15,75.0,0
111,33177,city_16,0.91,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,8,11,75.0,1
112,22143,city_103,0.92,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,34,21,7500.0,1
113,22264,city_160,0.92,,Has relevent experience,No enrollment,Graduate,STEM,,58,6,,1
114,17034,city_103,0.92,,Has relevent experience,Full time course,Graduate,STEM,Other,48,5,10500.0,0
115,27002,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,58,7,75.0,5
116,21318,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,7,9,2500.0,1
117,12308,city_143,0.74,,No relevent experience,No enrollment,Graduate,STEM,Public Sector,84,10,2500.0,5
118,842,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,,12,7,,1
119,4926,city_103,0.92,Male,No relevent experience,No enrollment,High School,,,22,1,,0
120,3,city_99,0.915,,No relevent experience,Full time course,High School,,Pvt Ltd,44,6,,0
121,19567,city_21,0.624,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,42,12,2500.0,1
122,12809,city_61,0.913,Male,Has relevent experience,No enrollment,High School,,Pvt Ltd,48,3,250.0,1
123,22682,city_71,0.884,Male,No relevent experience,No enrollment,Masters,STEM,Pvt Ltd,196,2,2500.0,1
124,1216,city_173,0.878,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,80,21,2500.0,2
125,4417,city_103,0.92,,No relevent experience,No enrollment,,,,99,,,
126,24162,city_21,0.624,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,48,0,8.0,1
127,16873,city_103,0.92,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,95,21,7500.0,5
128,21920,city_16,0.91,Female,No relevent experience,No enrollment,Phd,STEM,NGO,64,19,2500.0,1
129,24230,city_21,0.624,,Has relevent experience,Full time course,Masters,No Major,Early Stage Startup,17,0,8.0,
130,5189,city_16,0.91,,No relevent experience,No enrollment,High School,,,64,0,,1
131,24396,city_70,0.698,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,54,18,250.0,2
132,770,city_73,0.754,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,12,21,75.0,1
133,30913,city_103,0.92,Male,No relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,19,21,8.0,5
134,14566,city_69,0.856,Female,Has relevent experience,Part time course,Graduate,STEM,Pvt Ltd,145,7,750.0,1
135,15634,city_61,0.913,Male,Has relevent experience,No enrollment,Graduate,No Major,Pvt Ltd,50,11,250.0,5
136,18163,city_64,0.6659999999999999,,Has relevent experience,No enrollment,High School,,,135,2,,0
137,16673,city_21,0.624,,Has relevent experience,No enrollment,Graduate,STEM,,3,0,,1
138,18805,city_16,0.91,Male,No relevent experience,No enrollment,Phd,Humanities,,27,21,,5
139,15367,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,,24,0,,1
140,22556,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,Funded Startup,120,5,30.0,1
141,27439,city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,,61,15,,1
142,18426,city_21,0.624,Male,Has relevent experience,No enrollment,Graduate,STEM,,23,10,,1
143,9789,city_160,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,4,21,10500.0,5
144,28172,city_114,0.926,,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,139,21,250.0,5
145,9184,city_136,0.897,Male,Has relevent experience,Part time course,Masters,STEM,Pvt Ltd,34,3,10500.0,1
146,3587,city_16,0.91,Male,Has relevent experience,No enrollment,Masters,Humanities,Pvt Ltd,21,7,,4
147,1167,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,10,15,250.0,4
148,1663,city_134,0.698,,Has relevent experience,Part time course,Masters,STEM,,15,21,,5
149,20948,city_44,0.725,,Has relevent experience,No enrollment,Masters,STEM,,42,5,30.0,
150,31594,city_41,0.8270000000000001,Male,Has relevent experience,No enrollment,Masters,STEM,Funded Startup,154,21,75.0,5
151,27117,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,,8,0,,0
152,678,city_160,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,84,21,10500.0,1
153,1441,city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,,96,16,,0
154,31272,city_21,0.624,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,56,13,7500.0,4
155,12443,city_149,0.6890000000000001,Male,Has relevent experience,No enrollment,High School,,Pvt Ltd,270,6,250.0,1
156,32981,city_165,0.903,Male,Has relevent experience,No enrollment,Phd,STEM,,76,21,,1
157,1317,city_103,0.92,,Has relevent experience,No enrollment,Masters,STEM,Funded Startup,48,12,250.0,1
158,4601,city_28,0.939,Male,No relevent experience,No enrollment,Phd,STEM,Pvt Ltd,9,21,7500.0,2
159,30498,city_83,0.923,,No relevent experience,No enrollment,Graduate,STEM,Public Sector,27,3,30.0,0
160,7863,city_165,0.903,,No relevent experience,No enrollment,Graduate,STEM,,40,13,,3
161,8744,city_150,0.698,Male,No relevent experience,Full time course,High School,,,72,1,,0
162,14698,city_160,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,66,6,7500.0,1
163,10021,city_16,0.91,Female,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,22,5,10500.0,1
164,15253,city_16,0.91,Male,Has relevent experience,No enrollment,Phd,STEM,Funded Startup,156,21,75.0,3
165,18108,city_114,0.926,Male,Has relevent experience,No enrollment,High School,,Pvt Ltd,95,5,10500.0,5
166,31410,city_160,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,35,21,250.0,5
167,30532,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,102,16,750.0,1
168,31733,city_103,0.92,Male,Has relevent experience,No enrollment,Masters,STEM,,51,21,75.0,5
169,28833,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,88,2,75.0,1
170,8708,city_74,0.579,Male,Has relevent experience,Part time course,Masters,STEM,Pvt Ltd,13,3,75.0,1
171,10050,city_103,0.92,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,20,10,10500.0,5
172,21685,city_114,0.926,,No relevent experience,No enrollment,Phd,STEM,Pvt Ltd,91,15,10500.0,1
173,18529,city_143,0.74,Male,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,34,6,30.0,4
174,1850,city_103,0.92,,No relevent experience,No enrollment,Graduate,STEM,Public Sector,20,1,250.0,1
175,22639,city_176,0.764,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,77,4,30.0,1
176,5967,city_21,0.624,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,101,9,30.0,5
177,20977,city_16,0.91,Male,Has relevent experience,No enrollment,High School,,Pvt Ltd,178,21,250.0,1
178,5391,city_155,0.556,Male,No relevent experience,Full time course,Graduate,STEM,,29,2,,
179,4398,city_155,0.556,Male,Has relevent experience,No enrollment,Graduate,STEM,,200,7,75.0,3
180,18383,city_21,0.624,Male,No relevent experience,No enrollment,Masters,STEM,Pvt Ltd,15,4,250.0,1
181,17336,city_21,0.624,Male,No relevent experience,Full time course,High School,,,72,2,,0
182,7470,city_167,0.921,Male,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,8,7,250.0,1
183,24781,city_103,0.92,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,76,21,75.0,2
184,24202,city_90,0.698,Male,Has relevent experience,No enrollment,Graduate,STEM,,9,7,,1
185,20650,city_73,0.754,,Has relevent experience,Part time course,Graduate,STEM,Pvt Ltd,68,6,30.0,3
186,5377,city_114,0.926,Male,No relevent experience,No enrollment,High School,,Pvt Ltd,70,5,,0
187,31693,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,51,21,2500.0,5
188,28619,city_103,0.92,Male,No relevent experience,No enrollment,Graduate,No Major,,4,3,,0
189,15432,city_114,0.926,,No relevent experience,No enrollment,High School,,Pvt Ltd,16,11,250.0,5
190,22999,city_21,0.624,Female,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,9,0,250.0,1
191,8377,city_16,0.91,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,24,13,250.0,2
192,9302,city_149,0.6890000000000001,,Has relevent experience,No enrollment,Graduate,STEM,,152,9,,2
193,16158,city_160,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Funded Startup,72,7,75.0,3
194,29575,city_11,0.55,Male,Has relevent experience,No enrollment,Graduate,STEM,,88,7,,3
195,16573,city_28,0.939,Male,Has relevent experience,,Graduate,No Major,Pvt Ltd,138,8,30.0,2
196,30736,city_160,0.92,Male,No relevent experience,Full time course,High School,,,48,2,,1
197,20612,city_21,0.624,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,128,1,250.0,0
198,11976,city_136,0.897,Male,Has relevent experience,No enrollment,Masters,STEM,,59,14,,1
199,28302,city_16,0.91,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,138,5,8.0,1
200,9462,city_21,0.624,,No relevent experience,Part time course,,,,204,1,,0
201,14512,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,,125,4,75.0,1
202,8401,city_136,0.897,Male,Has relevent experience,No enrollment,Masters,STEM,Public Sector,7,6,75.0,2
203,19780,city_105,0.794,Female,Has relevent experience,No enrollment,Masters,,,53,,750.0,1
204,2594,city_21,0.624,,No relevent experience,Full time course,High School,,Pvt Ltd,12,2,,0
205,1466,city_103,0.92,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,52,21,10500.0,5
206,17205,city_114,0.926,Female,Has relevent experience,No enrollment,Masters,STEM,,24,21,,0
207,12990,city_160,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,67,16,250.0,5
208,4234,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,118,19,10500.0,1
209,18171,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,,29,12,,2
210,15457,city_114,0.926,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,18,17,75.0,5
211,23319,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,,9,4,,0
212,10598,city_136,0.897,Male,Has relevent experience,No enrollment,Phd,STEM,Early Stage Startup,7,14,8.0,1
213,7788,city_21,0.624,Male,Has relevent experience,No enrollment,High School,,,73,10,,0
214,32021,city_103,0.92,Male,Has relevent experience,No enrollment,Masters,Humanities,Pvt Ltd,65,21,250.0,2
215,23969,city_30,0.698,Male,Has relevent experience,No enrollment,,,Pvt Ltd,67,21,8.0,
216,13037,city_97,0.925,,Has relevent experience,No enrollment,High School,,,33,8,,1
217,30196,city_114,0.926,Male,Has relevent experience,No enrollment,Graduate,Humanities,Early Stage Startup,56,2,8.0,1
218,19504,city_21,0.624,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,18,4,30.0,1
219,16336,city_21,0.624,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,272,7,10500.0,5
220,6048,city_103,0.92,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,29,15,2500.0,2
221,6827,city_21,0.624,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,100,2,250.0,0
222,9268,city_160,0.92,Male,Has relevent experience,No enrollment,,,Pvt Ltd,26,21,8.0,2
223,11169,city_21,0.624,Female,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,13,6,10500.0,1
224,31131,city_103,0.92,Female,No relevent experience,Part time course,Graduate,Other,Other,56,3,7500.0,1
225,12361,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,Early Stage Startup,23,0,8.0,
226,15165,city_160,0.92,,No relevent experience,Part time course,Graduate,STEM,,16,21,,
227,27773,city_114,0.926,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,200,21,75.0,5
228,15266,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,28,7,7500.0,1
229,26289,city_89,0.925,Female,Has relevent experience,No enrollment,Graduate,Humanities,Pvt Ltd,12,3,8.0,2
230,32553,city_57,0.866,,No relevent experience,No enrollment,Masters,STEM,Pvt Ltd,26,12,,0
231,33062,city_98,0.949,Male,Has relevent experience,No enrollment,Graduate,STEM,Early Stage Startup,174,9,8.0,1
232,8818,city_103,0.92,,Has relevent experience,No enrollment,Primary School,,Pvt Ltd,39,7,250.0,1
233,15380,city_21,0.624,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,71,5,750.0,4
234,30120,city_11,0.55,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,114,4,250.0,0
235,24317,city_21,0.624,Male,Has relevent experience,No enrollment,Graduate,STEM,,12,9,,2
236,412,city_103,0.92,Male,No relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,56,17,8.0,2
237,30607,city_149,0.6890000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,46,4,2500.0,2
238,8513,city_16,0.91,Male,Has relevent experience,Full time course,Masters,STEM,,24,7,,1
239,8596,city_41,0.8270000000000001,,Has relevent experience,Full time course,High School,,Pvt Ltd,152,4,250.0,2
240,14539,city_69,0.856,Male,Has relevent experience,No enrollment,Graduate,STEM,Funded Startup,20,7,8.0,1
241,20456,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,202,6,10500.0,0
242,15221,city_114,0.926,Male,Has relevent experience,No enrollment,,,,10,2,,0
243,28968,city_150,0.698,Male,Has relevent experience,Part time course,High School,,NGO,78,2,75.0,2
244,21648,city_61,0.913,Male,Has relevent experience,No enrollment,Masters,STEM,Pvt Ltd,60,20,2500.0,0
245,3210,city_103,0.92,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,20,17,30.0,3
246,22118,city_103,0.92,,Has relevent experience,No enrollment,Graduate,STEM,,82,6,,2
247,5605,city_76,0.698,Other,Has relevent experience,No enrollment,Graduate,STEM,Public Sector,194,9,10500.0,3
248,30930,city_67,0.855,Male,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,248,21,8.0,0
249,28718,city_104,0.924,Male,Has relevent experience,No enrollment,Graduate,STEM,,68,21,,1
250,8141,city_103,0.92,,No relevent experience,No enrollment,Graduate,STEM,,36,21,,5
251,3486,city_165,0.903,Male,Has relevent experience,No enrollment,Phd,STEM,Pvt Ltd,61,14,250.0,5
252,8805,city_103,0.92,Male,Has relevent experience,No enrollment,Masters,STEM,Funded Startup,66,21,75.0,2
253,6602,city_162,0.767,,Has relevent experience,Full time course,Graduate,STEM,Pvt Ltd,119,6,30.0,1
254,14916,city_64,0.6659999999999999,Male,Has relevent experience,No enrollment,Graduate,STEM,Funded Startup,78,15,30.0,1
255,21636,city_36,0.893,,No relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,47,21,10500.0,5
256,9047,city_103,0.92,Other,Has relevent experience,No enrollment,Graduate,STEM,,174,21,,5
257,6694,city_16,0.91,Female,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,85,19,30.0,5
258,17793,city_74,0.579,,Has relevent experience,No enrollment,Graduate,STEM,Pvt Ltd,86,6,75.0,5
259,32857,city_16,0.91,Male,Has relevent experience,No enrollment,High School,,Pvt Ltd,20,7,10500.0,1
260,26325,city_21,0.624,Male,No relevent experience,,,,,38,3,,0
261,20907,city_103,0.92,Male,Has relevent experience,No enrollment,Masters,STEM,,212,5,,2
262,12617,city_90,0.698,,Has relevent experience,No enrollment,High School,,Pvt Ltd,77,11,8.0,2
